node_name,node_type,node_status,node_activation
Bias_Hidden_0@addNode:_1-0-1_2018-07-15-13-17-26,bias,activated,Linear
Bias_Hidden_1@addNode:_1-0-0_2018-07-15-13-17-26,bias,activated,Linear
Hidden_0,hidden,initialized,TanH
Hidden_0@addNode:_1-0-1_2018-07-15-13-17-26,hidden,initialized,TanH
Hidden_1@addNode:_1-0-0_2018-07-15-13-17-26,hidden,initialized,TanH
Hidden_bias_0,bias,activated,Linear
Input_0,input,initialized,Linear
Input_1,input,initialized,Linear
Output_0,output,initialized,TanH
Output_bias_0,bias,activated,Linear
